scientific_name,park_name,observations,category,common_names,conservation_status
rhododendron,yosemite national park,166,vascular plant,"azaleas, rhododendron",
silene hitchguirei,great smoky mountains national park,72,vascular plant,apetalous catchfly,
lonicera sempervirens,bryce national park,100,vascular plant,trumpet honeysuckle,
silene gallica,bryce national park,80,vascular plant,"common catchfly, windmill catchfly",
platanthera peramoena,great smoky mountains national park,78,vascular plant,purple fringeless orchid,
helianthus hirsutus,yellowstone national park,241,vascular plant,hairy sunflower,
ulmus pumila,bryce national park,113,vascular plant,siberean elm,
lilium superbum,bryce national park,94,vascular plant,turk's cap lily,
solidago rugosa ssp. aspera,yosemite national park,149,vascular plant,rough-stemmed goldenrod,
trematodon longicollis,great smoky mountains national park,96,nonvascular plant,trematodon moss,
poa paludigena,great smoky mountains national park,81,vascular plant,bog bluegrass,species of concern
neotamias amoenus,great smoky mountains national park,64,mammal,yellow pine chipmunk,
galium concinnum,bryce national park,140,vascular plant,shining bedstraw,
sorex longirostris,yellowstone national park,248,mammal,southeastern shrew,
isoetes occidentalis,bryce national park,116,vascular plant,western quillwort,
poa paludigena,bryce national park,61,vascular plant,bog bluegrass,species of concern
pycnanthemum loomisii,yellowstone national park,242,vascular plant,hoary mountain-mint,
convallaria montana,great smoky mountains national park,90,vascular plant,"american lily-of-the-valley, wild lily-of-the-valley",
galium latifolium,bryce national park,115,vascular plant,"broad-leaved bedstraw, purple bedstraw",
platanthera peramoena,yosemite national park,122,vascular plant,purple fringeless orchid,
microsteris gracilis var. humilior,great smoky mountains national park,61,vascular plant,slender phlox,
psilocarphus tenellus var. tenellus,bryce national park,111,vascular plant,slender woollyheads,
suaeda calceoliformis,yellowstone national park,229,vascular plant,"paiuteweed, pursh seepweed, western seepweed",
fagopyrum vulgare,bryce national park,112,vascular plant,buckwheat,
lindernia dubia var. dubia,bryce national park,82,vascular plant,false pimpernel,
eschscholzia californica,yosemite national park,129,vascular plant,"california goldenpoppy, california poppy",
tringa melanoleuca,bryce national park,127,bird,greater yellowlegs,
arabis holboellii var. retrofracta,yellowstone national park,229,vascular plant,"a holboell rock-cress, second rockcress",
viola palustris,bryce national park,85,vascular plant,marsh violet,
cyprinella venusta,bryce national park,120,fish,blacktail shiner,
thalictrum coriaceum,yosemite national park,150,vascular plant,"leatherleaf meadowrue, stalked-fruited meadowrue",
carex nigromarginata,bryce national park,140,vascular plant,"black-edge sedge, black-margined sedge",
centaurea solstitialis,yosemite national park,133,vascular plant,"yellow star thistle, yellow starthistle, yellow star-thistle",
heracleum lanatum,bryce national park,101,vascular plant,masterwort,
heracleum lanatum,bryce national park,101,vascular plant,"common cowparsnip, cow parsnip",
caprimulgus carolinensis,bryce national park,103,bird,chuck-will's-widow,
festuca minutiflora,bryce national park,88,vascular plant,"smallflower fescue, small-flower fescue",
graptemys geographica,great smoky mountains national park,105,reptile,"common map turtle, map turtle",
lysimachia terrestris,great smoky mountains national park,75,vascular plant,earth loosestrife,
antennaria aromatica,yosemite national park,125,vascular plant,scented pussytoes,
penstemon smallii,bryce national park,90,vascular plant,"small's beardtongue, small's beard-tongue",
racomitrium heterostichum,bryce national park,109,nonvascular plant,racomitrium moss,
euphorbia marginata,yellowstone national park,257,vascular plant,snow on the mountain,
barbarea orthoceras,great smoky mountains national park,89,vascular plant,"american yellowrocket, erectpod wintercress, wintercress",
sanicula odorata,bryce national park,86,vascular plant,"sanicle, black snakeroot",
carex leptalea,yosemite national park,162,vascular plant,"bristly-stalk sedge, sedge",
carex leptalea,yosemite national park,162,vascular plant,"bristlestalked sedge, bristly-stalk sedge, bristlystalked sedge",
eriogonum nudum var. scapigerum,great smoky mountains national park,100,vascular plant,naked buckwheat,
alyssum alyssoides,yellowstone national park,235,vascular plant,"pale alyssum, pale madwort, yellow alyssum",
cornus sericea ssp. occidentalis,yellowstone national park,241,vascular plant,western dogwood,
andropogon gyrans var. gyrans,great smoky mountains national park,90,vascular plant,"elliott bluestem, elliott's bluestem",
sedum rhodanthum,great smoky mountains national park,58,vascular plant,redpod stonecrop,
pipilo chlorurus,bryce national park,67,bird,green-tailed towhee,species of concern
felis concolor,yosemite national park,146,mammal,mountain lion,
lampropeltis calligaster rhombomaculata,yellowstone national park,231,reptile,mole kingsnake,
isoetes howellii,yellowstone national park,236,vascular plant,howell's quillwort,
larus pipixcan,yellowstone national park,243,bird,franklin's gull,
lepidium campestre,yosemite national park,167,vascular plant,"cow-cress, field pepper-grass",
lepidium campestre,yosemite national park,167,vascular plant,"cream-anther field pepperwort, field pepperweed",
potentilla argentea,great smoky mountains national park,55,vascular plant,silver cinquefoil,
potentilla argentea,great smoky mountains national park,55,vascular plant,"silver cinquefoil, silver-leaf cinquefoil",
sonchus arvensis ssp. uliginosus,great smoky mountains national park,115,vascular plant,moist sowthistle,
festuca idahoensis,yosemite national park,164,vascular plant,idaho fescue,
sedum lanceolatum,yellowstone national park,256,vascular plant,"lanceleaf stonecrop, lance-leaf stonecrop, spearleaf stonecrop",
bromus inermis var. inermis,great smoky mountains national park,85,vascular plant,smooth brome,
linanthus dichotomus,yosemite national park,127,vascular plant,"evening snow, eveningsnow",
campylium polygamum,yosemite national park,132,nonvascular plant,campylium moss,
camissonia sierrae ssp. alticola,yosemite national park,169,vascular plant,"mono hot springs evening primrose, mono hot springs evening-primrose",species of concern
lemna trisulca,yellowstone national park,274,vascular plant,"ivy-leaf duckweed, star duckweed",
agrostis elliottiana,yosemite national park,163,vascular plant,"elliott bentgrass, elliott's bentgrass",
oxytropis sericea var. speciosa,great smoky mountains national park,95,vascular plant,white locoweed,
junco hyemalis,great smoky mountains national park,79,bird,dark-eyed junco,
elymus glaucus ssp. jepsonii,bryce national park,101,vascular plant,jepson's blue wildrye,
lychnis coronaria,yosemite national park,163,vascular plant,rose campion,
claytonia lanceolata,yellowstone national park,254,vascular plant,lanceleaf springbeauty,
weissia controversa,bryce national park,110,nonvascular plant,controverial weissia moss,
hedeoma pulegioides,yellowstone national park,237,vascular plant,american pennyroyal,
eriogonum umbellatum var. covillei,great smoky mountains national park,71,vascular plant,sulphur-flower buckwheat,
scutellaria elliptica var. hirsuta,great smoky mountains national park,114,vascular plant,hairy skullcap,
artemisia ludoviciana ssp. incompta,bryce national park,97,vascular plant,"columbia river wormwood, mountain sagewort, white sagebrush",
rhinichthys osculus,yosemite national park,125,fish,speckled dace,
ranunculus hispidus var. hispidus,great smoky mountains national park,92,vascular plant,hairy buttercup,
buglossoides arvensis,yellowstone national park,278,vascular plant,corn gromwell,
chrysosplenium americanum,yellowstone national park,249,vascular plant,"american golden-saxifrage, golden saxifrage",
pteridium aquilinum var. pseudocaudatum,great smoky mountains national park,59,vascular plant,bracken fern,
sisymbrium loeselii,great smoky mountains national park,73,vascular plant,"false london rocket, small tumbleweed mustard, tall hedgemustard, tallhedge mustard",
gleditsia triacanthos,bryce national park,77,vascular plant,"honeylocust, honey-locust",
cryptobranchus alleganiensis alleganiensis,yosemite national park,111,amphibian,eastern hellbender,species of concern
symphyotrichum ascendens,yellowstone national park,245,vascular plant,western aster,
smilax pulverulenta,yellowstone national park,242,vascular plant,downy carrionflower,
cirsium occidentale var. californicum,yellowstone national park,250,vascular plant,cobwebby thistle,
solidago patula,yosemite national park,139,vascular plant,"rough-leaved goldenrod, roundleaf goldenrod",
prunus triloba,yosemite national park,159,vascular plant,flowering almond,
dichanthelium laxiflorum,yosemite national park,156,vascular plant,"lax-flower witchgrass, panic grass",
lithospermum ruderale,great smoky mountains national park,39,vascular plant,"western gromwell, western stoneseed, white stoneseed",
juncus acuminatus,great smoky mountains national park,66,vascular plant,"acuminate rush, sharp-fruit rush",
potamogeton amplifolius,yellowstone national park,254,vascular plant,"broad-leaved pondweed, large-leaf pondweed",
potamogeton amplifolius,yellowstone national park,254,vascular plant,largeleaf pondweed,
phacelia racemosa,yellowstone national park,251,vascular plant,racemose phacelia,
euonymus alatus,yellowstone national park,239,vascular plant,"winged euonymus, winged spindle-tree",
carex geyeri,yellowstone national park,281,vascular plant,"elk sedge, geyer's sedge",
dryopteris x separabilis,great smoky mountains national park,92,vascular plant,hybrid wood fern,
hordeum pusillum,yellowstone national park,239,vascular plant,little barley,
hordeum pusillum,yellowstone national park,239,vascular plant,"little barley, little wildbarley",
helianthus microcephalus,great smoky mountains national park,50,vascular plant,small wood sunflower,
fabronia ciliaris var. polycarpa,bryce national park,85,nonvascular plant,fabronia moss,
cirsium arvense,bryce national park,90,vascular plant,"crepping thistle, canada thistle",
cirsium arvense,bryce national park,90,vascular plant,canada thistle,
lonicera morrowii,great smoky mountains national park,43,vascular plant,"morrow honeysuckle, morrow's honeysuckle",
cynoglossum officinale,yellowstone national park,238,vascular plant,gypsyflower,
cynoglossum officinale,yellowstone national park,238,vascular plant,"common houndstongue, gypsyflower, gypsy-flower, hound's tongue, houndstongue",
eryngium yuccifolium,yosemite national park,133,vascular plant,rattlesnake-master,
podistera nevadensis,bryce national park,79,vascular plant,nevada podistera,
apera interrupta,yellowstone national park,209,vascular plant,"dense silkybent, dense silky-bent, silky bentgrass",
descurainia sophia,yosemite national park,130,vascular plant,"flaxweed tansymustard, flixweed, flixweed tansymustard, herb sophia, herb-sophia, pinnate tansymustard, tansymustard",
ruellia caroliniensis ssp. ciliosa var. cinerascens,yellowstone national park,218,vascular plant,carolina wild petunia,
viburnum lantana,great smoky mountains national park,42,vascular plant,"way-faring tree, wayfaring-tree",
plagiomnium carolinianum,bryce national park,49,nonvascular plant,carolina plagiomnium moss,species of concern
rhynchospora alba,great smoky mountains national park,101,vascular plant,white beaksedge,
trifolium wormskioldii,great smoky mountains national park,85,vascular plant,"cow clover, cows clover, sierra clover",
asparagus officinalis,great smoky mountains national park,51,vascular plant,"garden asparagus-fern, wild asparagus",
asparagus officinalis,great smoky mountains national park,51,vascular plant,"asparagus, garden asparagus, garden-asparagus",
astragalus kentrophyta var. danaus,bryce national park,108,vascular plant,spiny milkvetch,
kummerowia striata,bryce national park,101,vascular plant,japanese bush-clover,
penstemon cyaneus,great smoky mountains national park,62,vascular plant,blue penstemon,
helianthella uniflora,bryce national park,144,vascular plant,oneflower helianthella,
hypericum virgatum,yosemite national park,166,vascular plant,sharpleaf st. johnswort,
veronica arvensis,yosemite national park,162,vascular plant,corn speedwell,
veronica arvensis,yosemite national park,162,vascular plant,"common speedwell, corn speedwell, rock speedwell, wall speedwell",
draba verna,yellowstone national park,253,vascular plant,whitlow grass,
draba verna,yellowstone national park,253,vascular plant,"spring draba, spring whitlowgrass",
cyperus esculentus,bryce national park,91,vascular plant,chufa flatsedge,
cyperus esculentus,bryce national park,91,vascular plant,"chufa flatsedge, yellow nutgrass, yellow nutsedge",
balsamorhiza sagittata,yellowstone national park,271,vascular plant,arrowleaf balsamroot,
larus atricilla,yellowstone national park,233,bird,laughing gull,species of concern
phlox amoena,bryce national park,93,vascular plant,"hairy phlox, narrow-leaved phlox",
neovison vison,bryce national park,91,mammal,american mink,
conoclinium coelestinum,great smoky mountains national park,89,vascular plant,blue mistflower,
zonotrichia albicollis,great smoky mountains national park,56,bird,white-throated sparrow,
agrostis variabilis,yosemite national park,183,vascular plant,mountain bentgrass,
agrostis variabilis,yosemite national park,183,vascular plant,"mountain bentgrass, mountain redtop",
ondatra zibethicus,bryce national park,56,mammal,muskrat,
ondatra zibethicus,bryce national park,56,mammal,"common muskrat, muskbeaver, muskrat",
phacelia purshii,great smoky mountains national park,59,vascular plant,"miami-mist, pursh's purple phacelia",
myosurus apetalus var. montanus,yellowstone national park,286,vascular plant,"bristly mousetail, tiny mousetail",
stachys latidens,great smoky mountains national park,93,vascular plant,broadtooth hedgenettle,
sphyrapicus nuchalis,bryce national park,87,bird,red-naped sapsucker,
phlox divaricata,great smoky mountains national park,68,vascular plant,"blue phlox, wild blue phlox",
sphyrapicus ruber,great smoky mountains national park,58,bird,red-breasted sapsucker,
myriophyllum spicatum,bryce national park,100,vascular plant,spike watermilfoil,
senecio obovatus,bryce national park,120,vascular plant,"round-leaf groundsel, spatulate-leaved ragwort",
calycadenia oppositifolia,bryce national park,133,vascular plant,butte county western rosinweed,
bromus secalinus,yosemite national park,129,vascular plant,"cheat grass, rye brome",
bromus secalinus,yosemite national park,129,vascular plant,"bromegrass, cheat, chess, chess brome, rye brome, ryebrome",
cyprinella venusta,great smoky mountains national park,79,fish,blacktail shiner,
lewisia glandulosa,yosemite national park,97,vascular plant,sierra lewisia,
eriodictyon californicum,yellowstone national park,245,vascular plant,california yerba santa,
rosa eglanteria,great smoky mountains national park,62,vascular plant,"sweet brier, sweetbrier",
rosa eglanteria,great smoky mountains national park,62,vascular plant,sweetbriar rose,
eurycea bislineata,great smoky mountains national park,115,amphibian,"northern two-lined salamander, two-lined salamander",
polygonum shastense,great smoky mountains national park,77,vascular plant,shasta knotweed,
carex laevivaginata,great smoky mountains national park,66,vascular plant,"sedge, smooth-sheath sedge",
didymodon fallax,bryce national park,84,nonvascular plant,didymodon moss,
eclipta prostrata,bryce national park,147,vascular plant,eclipta,
allophyllum divaricatum,bryce national park,83,vascular plant,purple false gilyflower,
erigeron divergens,yosemite national park,118,vascular plant,"spreading daisy, spreading fleabane",
paronychia fastigiata,yellowstone national park,252,vascular plant,"cluster-stemmed nail-wort, forked chickweed",
itea virginica,yosemite national park,157,vascular plant,"sweet-spire, tasselwhite, virginia willow",
epilobium canum ssp. latifolium,great smoky mountains national park,72,vascular plant,hummingbird trumpet,
quiscalus quiscula,bryce national park,88,bird,common grackle,
quercus velutina,bryce national park,139,vascular plant,black oak,
rorippa palustris ssp. fernaldiana,great smoky mountains national park,59,vascular plant,fernald's yellowcress,
rorippa palustris ssp. fernaldiana,great smoky mountains national park,59,vascular plant,"bog yellowcress, fernald yellowcress, fernald's yellowcress",
plethodon dorsalis,yellowstone national park,240,amphibian,northern zigzag salamander,
polygonum ramosissimum,yosemite national park,162,vascular plant,"bushy knotweed, tall knotweed, yellow knotweed, yellow-flower knotweed",
lomatium congdonii,yosemite national park,148,vascular plant,"congdon's lomatium, mariposa desertparsley",species of concern
baeolophus bicolor,yosemite national park,134,bird,tufted titmouse,
potentilla drummondii ssp. bruceae,yellowstone national park,236,vascular plant,drummond's cinquefoil,
epilobium oregonense,great smoky mountains national park,42,vascular plant,"oregon willowherb, oregon willowweed",
sonchus arvensis,yosemite national park,158,vascular plant,"creeping sowthistle, field sowthistle, field sow-thistle, perennial sowthistle, sowthistle",
portulaca oleracea,bryce national park,108,vascular plant,common purslane,
portulaca oleracea,bryce national park,108,vascular plant,"akulikuli-kula, common purslane, duckweed, garden purslane, little hogweed, little-hogweed, purslane, pursley, wild portulaca",
grimmia donniana,great smoky mountains national park,85,nonvascular plant,donn's dry rock moss,
umbellularia californica,yosemite national park,166,vascular plant,california laurel,
bubulcus ibis,yellowstone national park,256,bird,"cattle egret, western cattle egret",
adoxa moschatellina,great smoky mountains national park,86,vascular plant,muskroot,
asimina triloba,bryce national park,92,vascular plant,"pawpaw, paw-paw",
bupleurum rotundifolium,yellowstone national park,272,vascular plant,hare's ear,
peromyscus maniculatus,yellowstone national park,234,mammal,deer mouse,
peromyscus maniculatus,yellowstone national park,234,mammal,"deer mouse, north american deermouse",
eleocharis,great smoky mountains national park,58,vascular plant,"spikerush, spikesedge",
festuca subverticillata,yellowstone national park,230,vascular plant,"nodding fescue, woodland fescue",
senecio hydrophilus,yosemite national park,112,vascular plant,"alkali marsh groundsel, water groundsel, water ragwort",
erigeron pumilus var. gracilior,bryce national park,101,vascular plant,shaggy fleabane,
rhododendron occidentale,bryce national park,122,vascular plant,"california azalea, sonoma azalea, western azalea",
acalypha virginica,yosemite national park,143,vascular plant,"virginia copperleaf, virginia threeseed mercury",
symphyotrichum ascendens,great smoky mountains national park,65,vascular plant,western aster,
lupinus bicolor,yosemite national park,136,vascular plant,"bicolor lupine, miniature lupine",
polypogon monspeliensis,great smoky mountains national park,130,vascular plant,"annual rabbitsfoot grass, annual rabbit's-foot grass, rabbitfoot beardgrass, rabbitfoot grass, rabbitfoot polypogon, rabbitfootgrass, rabbit'sfootgrass",
piptatherum exiguum,great smoky mountains national park,112,vascular plant,little ricegrass,
carpodacus mexicanus,yellowstone national park,240,bird,house finch,
oreothlypis celata,yellowstone national park,259,bird,orange-crowned warbler,
equus caballus,yosemite national park,155,mammal,"feral horse, horse",
utricularia gibba,bryce national park,72,vascular plant,"conespur bladderpod, humped bladderwort",
solidago canadensis var. scabra,bryce national park,115,vascular plant,canada goldenrod,
amaranthus retroflexus,yosemite national park,121,vascular plant,"green amaranthus, red-root amaranth",
amaranthus retroflexus,yosemite national park,121,vascular plant,"careless weed, redroot amaranth, red-root amaranth, redroot pigweed, rough pigweed",
podiceps nigricollis,bryce national park,88,bird,"black-necked grebe, eared grebe",
podiceps nigricollis,bryce national park,88,bird,eared grebe,
actitis macularius,yosemite national park,181,bird,spotted sandpiper,
ipomoea pandurata,yellowstone national park,252,vascular plant,"big-root morning-glory, man of the earth",
aconitum columbianum ssp. columbianum,yosemite national park,162,vascular plant,columbian monkshood,
lupinus grayi,great smoky mountains national park,58,vascular plant,"gray's lupine, sierra lupine",
taenidia integerrima,great smoky mountains national park,75,vascular plant,"yellow pimpernel, yellow pimpernell",
schoenoplectus purshianus,great smoky mountains national park,54,vascular plant,weakstalk bulrush,
helianthus,yellowstone national park,256,vascular plant,sunflower,
alisma triviale,yellowstone national park,273,vascular plant,"northern water plantain, northern water-plantain",
oxyria digyna,great smoky mountains national park,83,vascular plant,"alpine mountainsorrel, mountain sorrel",
dicranum condensatum,bryce national park,83,nonvascular plant,condensed dicranum moss,
andreaea rupestris,great smoky mountains national park,62,nonvascular plant,andreaea moss,
galium multiflorum,yosemite national park,165,vascular plant,"manyflower bedstraw, shrubby bedstraw",
sphagnum pylaesii,great smoky mountains national park,51,nonvascular plant,pylaes' sphagnum,
oncorhynchus clarkii bouvieri,great smoky mountains national park,66,fish,yellowstone cutthroat trout,
rhododendron catawbiense,yosemite national park,168,vascular plant,catawba rhododendron,
nemophila maculata,bryce national park,111,vascular plant,fivespot,
hygrohypnum micans,great smoky mountains national park,41,nonvascular plant,hygrohypnum moss,
veronica anagallis-aquatica,yellowstone national park,259,vascular plant,brook-pimpernell,
veronica anagallis-aquatica,yellowstone national park,259,vascular plant,"blue water speedwell, water speedwell",
melica stricta,great smoky mountains national park,76,vascular plant,"rock melicgrass, rock oniongrass",
robinia pseudoacacia,yellowstone national park,216,vascular plant,black locust,
sonchus asper,yellowstone national park,281,vascular plant,"spiney-leaved sonchus, spiny-leaf sowthistle",
sonchus asper,yellowstone national park,281,vascular plant,"perennial sowthistle, prickly sow thistle, prickly sowthistle, spiny sowthistle, spiny-leaf sow-thistle",
barbula convoluta,great smoky mountains national park,67,nonvascular plant,convoluted barbula moss,
agrostis capillaris,yellowstone national park,241,vascular plant,rhode island bent,
agrostis capillaris,yellowstone national park,241,vascular plant,"colonial bent, colonial bentgrass",
carex macloviana,great smoky mountains national park,112,vascular plant,"falkland island sedge, thickhead sedge",
hypericum anagalloides,yellowstone national park,233,vascular plant,"creeping st. johnswort, tinker's penny, tinker's-penny",
agrostis mertensii,yellowstone national park,251,vascular plant,northern agrostis,
agrostis mertensii,yellowstone national park,251,vascular plant,"arctic bentgrass, northern bentgrass",
calochortus superbus,great smoky mountains national park,68,vascular plant,yellow mariposa,
triteleia montana,yosemite national park,171,vascular plant,sierra triteleia,
penstemon procerus var. formosus,bryce national park,87,vascular plant,"pincushion beardtongue, pincushion penstemon",
mertensia ciliata var. ciliata,bryce national park,96,vascular plant,"tall fringe bluebells, tall fringed bluebells",
bufo americanus americanus,great smoky mountains national park,59,amphibian,eastern american toad,
lobelia cardinalis,yosemite national park,144,vascular plant,cardinal flower,
eleusine indica,yellowstone national park,253,vascular plant,"india goosegrass, wiregrass",
alopecurus borealis,great smoky mountains national park,53,vascular plant,boreal alopecurus,
rubus idaeus ssp. strigosus,great smoky mountains national park,99,vascular plant,american red raspberry,
hesperochiron californicus,yellowstone national park,259,vascular plant,california hesperochiron,
anemone virginiana,bryce national park,96,vascular plant,"thimbleweed, virginia anemone",
dichanthelium commutatum,yosemite national park,102,vascular plant,common panic grass,
anas penelope,yellowstone national park,257,bird,eurasian wigeon,
procyon lotor,bryce national park,81,mammal,"common raccoon, raccoon",
procyon lotor,bryce national park,81,mammal,"common raccoon, northern raccoon, raccoon",
procyon lotor,bryce national park,81,mammal,raccoon,
calochortus venustus,yellowstone national park,248,vascular plant,butterfly mariposa lily,
magnolia tripetala,bryce national park,111,vascular plant,umbrella magnolia,
castor canadensis,yellowstone national park,183,mammal,"american beaver, beaver",
castor canadensis,yellowstone national park,183,mammal,american beaver,
castor canadensis,yellowstone national park,183,mammal,beaver,
prunus americana,yellowstone national park,282,vascular plant,"american plum, wild plum",
juniperus communis var. depressa,yosemite national park,135,vascular plant,common juniper,
trillium angustipetalum,great smoky mountains national park,73,vascular plant,narrowpetal wakerobin,
aralia spinosa,yellowstone national park,277,vascular plant,"devil's walking stick, hercules club",
phegopteris connectilis,bryce national park,150,vascular plant,northern beech fern,
antennaria luzuloides,bryce national park,104,vascular plant,rush pussytoes,
viola egglestonii,bryce national park,151,vascular plant,glade violet,
carex muehlenbergii var. muehlenbergii,great smoky mountains national park,101,vascular plant,muhlenberg's sedge,
meleagris gallopavo,yosemite national park,162,bird,wild turkey,
bromus pubescens,yosemite national park,183,vascular plant,native brome grass,
tropidocarpum gracile,bryce national park,88,vascular plant,dobie pod,
narcissus pseudonarcissus,bryce national park,100,vascular plant,"commom daffodil, daffodil",
aythya americana,great smoky mountains national park,115,bird,redhead,
clarkia biloba ssp. biloba,yosemite national park,96,vascular plant,twolobe clarkia,
eleocharis decumbens,yosemite national park,148,vascular plant,decumbent spikerush,
mimus polyglottos,yellowstone national park,260,bird,"mockingbird, northern mockingbird",
mimus polyglottos,yellowstone national park,260,bird,northern mockingbird,
solanum lycopersicum var. lycopersicum,yellowstone national park,251,vascular plant,garden tomato,
agrostemma githago,great smoky mountains national park,134,vascular plant,"common corncockle, corncockle",
aristolochia macrophylla,great smoky mountains national park,63,vascular plant,dutchman's pipe,
spilogale putorius,great smoky mountains national park,103,mammal,eastern spotted skunk,
spilogale putorius,great smoky mountains national park,103,mammal,spotted skunk,
calamagrostis purpurascens,yosemite national park,134,vascular plant,purple reedgrass,
pseudognaphalium helleri ssp. helleri,yosemite national park,176,vascular plant,heller's cudweed,
deschampsia elongata,yosemite national park,114,vascular plant,slender hairgrass,
carex gynocrates,yosemite national park,163,vascular plant,"bog sedge, northern bog sedge",
tauschia hartwegii,bryce national park,112,vascular plant,hartweg's umbrellawort,
spiranthes lacera var. gracilis,great smoky mountains national park,92,vascular plant,slender lady's tresses,
saxifraga cernua,yosemite national park,167,vascular plant,nodding saxifrage,
brassica juncea,yosemite national park,141,vascular plant,india mustard,
epipactis helleborine,yellowstone national park,269,vascular plant,helleborine,
epipactis helleborine,yellowstone national park,269,vascular plant,broadleaf helleborine,
agoseris elata,yosemite national park,130,vascular plant,tall agoseris,
marmota monax,great smoky mountains national park,80,mammal,woodchuck,
plagiomnium ciliare,yosemite national park,160,nonvascular plant,plagiomnium moss,
rhododendron,yellowstone national park,266,vascular plant,"azaleas, rhododendron",
helianthus strumosus,bryce national park,97,vascular plant,paleleaf woodland sunflower,
juncus longii,yosemite national park,174,vascular plant,long's rush,
mimulus ringens,bryce national park,97,vascular plant,"monkey flower, square-stem monkeyflower",
lycopodium annotinum,great smoky mountains national park,76,vascular plant,stiff clubmoss,
lycopodium annotinum,great smoky mountains national park,76,vascular plant,"clubmoss, stiff club moss, stiff clubmoss",
muscari comosum,great smoky mountains national park,97,vascular plant,tassel grapehyacinth,
eriophyllum congdonii,yellowstone national park,235,vascular plant,congdon's woolly sunflower,
thelypodium sagittatum,yellowstone national park,250,vascular plant,"arrow thelypody, slender thelypody",
purshia tridentata,yellowstone national park,221,vascular plant,antelope bitterbrush,
barbarea vulgaris,bryce national park,98,vascular plant,"wintercress, yellow rocket",
barbarea vulgaris,bryce national park,98,vascular plant,"garden yellow rocket, garden yellowrocket, winter cress, yellow rocket",
astragalus alpinus,bryce national park,99,vascular plant,alpine milkvetch,
fissidens hyalinus,yellowstone national park,227,nonvascular plant,fissidens moss,
tilia americana var. heterophylla,bryce national park,84,vascular plant,white basswood,
festuca occidentalis,bryce national park,87,vascular plant,western fescue,
lepidium densiflorum var. macrocarpum,bryce national park,119,vascular plant,bigseed pepperweed,
purshia tridentata,yosemite national park,164,vascular plant,antelope bitterbrush,
psilocarphus oregonus,yosemite national park,128,vascular plant,oregon woollyheads,
geococcyx californianus,yosemite national park,150,bird,greater roadrunner,
holcus lanatus,bryce national park,83,vascular plant,"common velvet grass, velvetgrass",
holcus lanatus,bryce national park,83,vascular plant,"common velvetgrass, yorkshire-fog",
holcus lanatus,bryce national park,83,vascular plant,"common velvetgrass, velvetgrass, yorkshire fog",
cardamine oligosperma var. oligosperma,yosemite national park,164,vascular plant,little western bittercress,
penstemon aridus,yellowstone national park,249,vascular plant,stiffleaf penstemon,
ligusticum filicinum,yosemite national park,150,vascular plant,"fernleaf licoriceroot, fernleaf licorice-root",
amelanchier canadensis,yosemite national park,168,vascular plant,canadian serviceberry,
bubo virginianus,bryce national park,105,bird,great horned owl,
sematophyllum marylandicum,bryce national park,102,nonvascular plant,maryland sematophyllum moss,
salix discolor,bryce national park,65,vascular plant,pussy willow,
peromyscus maniculatus,bryce national park,75,mammal,deer mouse,
peromyscus maniculatus,bryce national park,75,mammal,"deer mouse, north american deermouse",
symphyotrichum urophyllum,great smoky mountains national park,69,vascular plant,white arrowleaf aster,
telesonix heucheriformis,yosemite national park,147,vascular plant,alumroot brookfoam,
potamogeton pulcher,yosemite national park,169,vascular plant,spotted pondweed,
mimulus bolanderi,yosemite national park,140,vascular plant,bolander's monkeyflower,
symphyotrichum foliaceum var. canbyi,yellowstone national park,246,vascular plant,canby's aster,
canis latrans,bryce national park,85,mammal,coyote,species of concern
panicum dichotomiflorum,bryce national park,108,vascular plant,"large panic grass, spreading panic-grass",
leucodon brachypus,bryce national park,90,nonvascular plant,leucodon moss,
lesquerella alpina var. alpina,bryce national park,92,vascular plant,alpine bladderpod,
setaria pumila,yosemite national park,190,vascular plant,glaucous foxtail,
setaria pumila,yosemite national park,190,vascular plant,"cattail grass, yellow bristle grass, yellow bristlegrass",
pseudognaphalium obtusifolium ssp. obtusifolium,yellowstone national park,263,vascular plant,rabbittobacco,
clinopodium vulgare,yellowstone national park,255,vascular plant,basil,
carex festucacea,yellowstone national park,252,vascular plant,fescue sedge,
chaerophyllum procumbens,bryce national park,65,vascular plant,spreading chervil,
mimulus filicaulis,yellowstone national park,197,vascular plant,"hetch hetchy monkey-flower, slenderstem monkeyflower",species of concern
liatris scariosa,yellowstone national park,243,vascular plant,devil's bite,
carya glabra,yellowstone national park,275,vascular plant,"pignut hickory, sweet pignut hickory",
ceryle alcyon,yosemite national park,117,bird,belted kingfisher,
juncus chlorocephalus,great smoky mountains national park,53,vascular plant,greenhead rush,
gastrophryne carolinensis,yosemite national park,132,amphibian,eastern narrow-mouthed toad,
polemonium reptans,bryce national park,119,vascular plant,"greek valerian, greek valerian, jacob's ladder",
trachemys scripta,yosemite national park,127,reptile,slider,
canis latrans,yellowstone national park,206,mammal,coyote,species of concern
myotis volans,bryce national park,91,mammal,"long-legged myotis, long-legged myotis",species of concern
cyanocitta stelleri,great smoky mountains national park,48,bird,steller's jay,
anomodon rugelii,great smoky mountains national park,89,nonvascular plant,rugel's anomodon moss,
sedum radiatum,yellowstone national park,234,vascular plant,coast range stonecrop,
rorippa curvipes var. curvipes,bryce national park,124,vascular plant,"bluntleaf yellowcress, blunt-leaf yellowcress",
